Title,Director,Duration,Actor_1,Actor_2,Actor_3,Gross,Budget,Year
Supernova ,Walter Hill,91,Robert Forster,Wilson Cruz,Vanessa Marshall,14218868,65000000,2000
Winter's Tale ,Akiva Goldsman,118,Matt Bomer,William Hurt,Kevin Corrigan,22451,60000000,2014
The Mortal Instruments: City of Bones ,Harald Zwart,130,Aidan Turner,Kevin Zegers,CCH Pounder,31165421,60000000,2013
Meet Dave ,Brian Robbins,90,Marc Blucas,Mike O'Malley,Shawn Christian,11802056,60000000,2008
Dark Water ,Walter Salles,103,Dougray Scott,Camryn Manheim,Ariel Gade,25472967,30000000,2005
Edtv ,Ron Howard,122,Matthew McConaughey,Adam Goldberg,Clint Howard,22362500,55000000,1999
Inkheart ,Iain Softley,106,Brendan Fraser,Stephen Graham,Jamie Foreman,17281832,60000000,2008
The Spirit ,Frank Miller,103,Scarlett Johansson,Jaime King,Louis Lombardi,19781879,60000000,2008
Mortdecai ,David Koepp,107,Johnny Depp,Olivia Munn,Ulrich Thomsen,7605668,60000000,2015
In the Name of the King: A Dungeon Siege Tale ,Uwe Boll,156,Jason Statham,Mike Dopud,Tania Saulnier,4535117,60000000,2007
Beyond Borders ,Martin Campbell,127,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,4426297,35000000,2003
Xi you ji zhi: Sun Wukong san da Baigu Jing ,Pou-Soi Cheang,119,Li Gong,Aaron Kwok,Eddie Peng,,68005000,2016
The Great Raid ,John Dahl,132,James Franco,Clayne Crawford,Paolo Montalban,10166502,80000000,2005
Deadpool ,Tim Miller,108,Ryan Reynolds,Ed Skrein,Stefan Kapicic,363024263,58000000,2016
Holy Man ,Stephen Herek,114,Kelly Preston,Morgan Fairchild,Eric McCormack,12065985,60000000,1998
American Sniper ,Clint Eastwood,133,Bradley Cooper,Leonard Roberts,Keir O'Donnell,350123553,58800000,2014
Goosebumps ,Rob Letterman,103,Odeya Rush,Dylan Minnette,Ken Marino,80021740,58000000,2015
"Sabrina, the Teenage Witch             ",,22,Nate Richert,Soleil Moon Frye,Caroline Rhea,,3000000,
Just Like Heaven ,Mark Waters,95,Jon Heder,Ivana Milicevic,Willie Garson,48291624,58000000,2005
The Flintstones in Viva Rock Vegas ,Brian Levant,90,Taylor Negron,Mark Addy,Danny Woodburn,35231365,60000000,2000
Rambo III ,Peter MacDonald,87,Sylvester Stallone,Kurtwood Smith,Richard Crenna,53715611,63000000,1988
Leatherheads ,George Clooney,114,Robert Baker,Malcolm Goodwin,Matt Bushell,31199215,58000000,2008
The Ridiculous 6 ,Frank Coraci,119,Taylor Lautner,Adam Sandler,Jon Lovitz,,,2015
Did You Hear About the Morgans? ,Marc Lawrence,103,Michael Kelly,Kim Shaw,Kevin Brown,29580087,58000000,2009
The Internship ,Shawn Levy,125,Josh Gad,Jessica Szohr,Rob Riggle,44665963,58000000,2013
Resident Evil: Afterlife ,Paul W.S. Anderson,97,Milla Jovovich,Boris Kodjoe,Shawn Roberts,60128566,60000000,2010
Red Tails ,Anthony Hemingway,125,David Oyelowo,Nate Parker,Tristan Mack Wilds,49875589,58000000,2012
Sex and the City             ,,30,Chris Noth,Kristin Davis,Cynthia Nixon,,,
The Devil's Advocate ,Taylor Hackford,136,Keanu Reeves,Al Pacino,Charlize Theron,60984028,57000000,1997
That's My Boy ,Sean Anders,116,Adam Sandler,Leighton Meester,Will Forte,36931089,70000000,2012
DragonHeart ,Rob Cohen,103,Dennis Quaid,Brian Thompson,Terry O'Neill,51317350,57000000,1996
After the Sunset ,Brett Ratner,97,Salma Hayek,Don Cheadle,Chris Penn,28328132,58000000,2004
Ghost Rider: Spirit of Vengeance ,Mark Neveldine,96,Nicolas Cage,Spencer Wilding,Christopher Lambert,51774002,57000000,2011
Captain Corelli's Mandolin ,John Madden,131,Christian Bale,Irene Papas,Mihalis Giannatos,25528495,57000000,2001
Anger Management             ,,22,Barry Corbin,Noureen DeWulf,Brian Austin Green,,,
The Pacifier ,Adam Shankman,95,Vin Diesel,Brad Garrett,Tate Donovan,113006880,56000000,2005
Walking Tall ,Kevin Bray,86,Dwayne Johnson,Ashley Scott,Michael Bowen,45860039,56000000,2004
Forrest Gump ,Robert Zemeckis,142,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,329691196,55000000,1994
Alvin and the Chipmunks ,Tim Hill,92,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,217326336,60000000,2007
Meet the Parents ,Jay Roach,108,Robert De Niro,Blythe Danner,Teri Polo,166225040,55000000,2000
Pocahontas ,Mike Gabriel,84,Christian Bale,Frank Welker,Irene Bedard,141600000,55000000,1995
Superman ,Richard Donner,188,Marlon Brando,Margot Kidder,Ned Beatty,134218018,55000000,1978
The Nutty Professor ,Tom Shadyac,95,Jada Pinkett Smith,James Coburn,Dave Chappelle,128769345,54000000,1996
Hitch ,Andy Tennant,118,Will Smith,Michael Rapaport,Kevin Sussman,177575142,70000000,2005
George of the Jungle ,Sam Weisman,92,Brendan Fraser,Abraham Benrubi,Holland Taylor,105263257,55000000,1997
American Wedding ,Jesse Dylan,74,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,104354205,55000000,2003
Captain Phillips ,Paul Greengrass,134,Tom Hanks,Chris Mulkey,Michael Chernus,107100855,55000000,2013
Date Night ,Shawn Levy,101,Mila Kunis,James Franco,Steve Carell,98711404,55000000,2010
Casper ,Brad Silberling,100,Eric Idle,Fred Rogers,Cathy Moriarty,100328194,50000000,1995
The Equalizer ,Antoine Fuqua,132,Denzel Washington,Chloë Grace Moretz,James Wilcox,101530738,55000000,2014
Maid in Manhattan ,Wayne Wang,105,Bob Hoskins,Frances Conroy,Natasha Richardson,93815117,55000000,2002
Crimson Tide ,Tony Scott,123,Denzel Washington,Viggo Mortensen,Ricky Schroder,91400000,53000000,1995
The Pursuit of Happyness ,Gabriele Muccino,117,Will Smith,Kurt Fuller,James Karen,162586036,55000000,2006
Flightplan ,Robert Schwentke,98,Erika Christensen,Michael Irby,Haley Ramm,89706988,55000000,2005
Disclosure ,Barry Levinson,128,Demi Moore,Dylan Baker,Roma Maffia,83000000,55000000,1994
City of Angels ,Brad Silberling,114,Nicolas Cage,Andre Braugher,Colm Feore,78745923,55000000,1998
Kill Bill: Vol. 1 ,Quentin Tarantino,111,David Carradine,Vivica A. Fox,Chiaki Kuriyama,70098138,30000000,2003
Bowfinger ,Frank Oz,85,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,66365290,55000000,1999
Stargate SG-1             ,,44,Christopher Judge,Don S. Davis,Gary Jones,,1400000,
Kill Bill: Vol. 2 ,Quentin Tarantino,137,Vivica A. Fox,Michael Parks,Michael Bowen,66207920,30000000,2004
Tango & Cash ,Andrey Konchalovskiy,97,Sylvester Stallone,Jack Palance,Brion James,63408614,55000000,1989
Death Becomes Her ,Robert Zemeckis,104,Bruce Willis,Meryl Streep,Isabella Rossellini,58422650,55000000,1992
Shanghai Noon ,Tom Dey,110,Xander Berkeley,Jason Connery,Kate Luyben,56932305,55000000,2000
Executive Decision ,Stuart Baird,133,Oliver Platt,Joe Morton,J.T. Walsh,68750000,55000000,1996
Mr. Popper's Penguins ,Mark Waters,94,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,68218041,55000000,2011
The Forbidden Kingdom ,Rob Minkoff,104,Jet Li,Thomas McDonell,Michael Angarano,25040293,55000000,2008
Free Birds ,Jimmy Hayward,91,Amy Poehler,Carlos Ponce,Dan Fogler,55747724,55000000,2013
Alien 3 ,David Fincher,145,Charles S. Dutton,Holt McCallany,Paul McGann,55473600,50000000,1992
Evita ,Alan Parker,135,Andrea Corr,Jimmy Nail,Peter Polycarpou,49994804,55000000,1996
Ronin ,John Frankenheimer,122,Robert De Niro,Natascha McElhone,Michael Lonsdale,41609593,55000000,1998
The Ghost and the Darkness ,Stephen Hopkins,110,Tom Wilkinson,Bernard Hill,Om Puri,38553833,55000000,1996
Paddington ,Paul King,95,Julie Walters,Matt Lucas,Sally Hawkins,76137505,55000000,2014
The Watch ,Akiva Schaffer,102,Will Forte,Nicholas Braun,Rosemarie DeWitt,34350553,68000000,2012
The Hunted ,William Friedkin,94,Connie Nielsen,Jenna Boyd,Rex Linn,34238611,55000000,2003
Instinct ,Jon Turteltaub,126,Anthony Hopkins,Maura Tierney,John Ashton,34098563,55000000,1999
Stuck on You ,Bobby Farrelly,118,Matt Damon,Terence Bernie Hines,Seymour Cassel,33828318,55000000,2003
Semi-Pro ,Kent Alterman,99,Will Ferrell,Maura Tierney,Matt Walsh,33472850,55000000,2008
The Pirates! Band of Misfits ,Peter Lord,88,Salma Hayek,Russell Tovey,Brian Blessed,31051126,55000000,2012
Changeling ,Clint Eastwood,141,Angelina Jolie Pitt,Michael Kelly,Colm Feore,35707327,55000000,2008
Chain Reaction ,Andrew Davis,107,Keanu Reeves,Morgan Freeman,Kevin Dunn,20550712,50000000,1996
The Fan ,Tony Scott,116,Robert De Niro,Kurt Fuller,Ellen Barkin,18573791,55000000,1996
The Phantom of the Opera ,Joel Schumacher,143,Gerard Butler,Minnie Driver,Miranda Richardson,51225796,70000000,2004
Elizabeth: The Golden Age ,Shekhar Kapur,114,Eddie Redmayne,Abbie Cornish,Jordi Mollà,16264475,55000000,2007
Æon Flux ,Karyn Kusama,93,Charlize Theron,Sophie Okonedo,Paterson Joseph,25857987,62000000,2005
Gods and Generals ,Ron Maxwell,280,Billy Campbell,Bruce Boxleitner,John Castle,12870569,56000000,2003
Turbulence ,Robert Butler,100,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,11466088,71000000,1997
Imagine That ,Karey Kirkpatrick,107,Stephen Root,Ronny Cox,Richard Schiff,16088610,55000000,2009
Muppets Most Wanted ,James Bobin,119,Ty Burrell,Tina Fey,Hugh Bonneville,51178893,50000000,2014
Thunderbirds ,Jonathan Frakes,95,Sophia Myles,Philip Winchester,Brady Corbet,6768055,57000000,2004
Burlesque ,Steve Antin,119,Eric Dane,Peter Gallagher,David Walton,39440655,55000000,2010
A Very Long Engagement ,Jean-Pierre Jeunet,133,Denis Lavant,André Dussollier,Albert Dupontel,6167817,47000000,2004
Lolita ,Stanley Kubrick,152,James Mason,Shelley Winters,Lois Maxwell,,2000000,1962
Eye See You ,Jim Gillespie,96,Sylvester Stallone,Tom Berenger,Charles S. Dutton,,55000000,2002
Blade II ,Guillermo del Toro,117,Norman Reedus,Thomas Kretschmann,Tony Curran,81645152,54000000,2002
Seven Pounds ,Gabriele Muccino,123,Will Smith,Rosario Dawson,Madison Pettis,69951824,55000000,2008
Bullet to the Head ,Walter Hill,92,Sylvester Stallone,Jason Momoa,Jon Seda,9483821,55000000,2012
The Godfather: Part III ,Francis Ford Coppola,170,Al Pacino,Joe Mantegna,Bridget Fonda,66676062,54000000,1990
Elizabethtown ,Cameron Crowe,123,Orlando Bloom,Kirsten Dunst,Judy Greer,26838389,57000000,2005
"You, Me and Dupree ",Anthony Russo,110,Todd Stashwick,Billy Gardell,Amanda Detmer,75604320,54000000,2006
Superman II ,Richard Lester,116,Margot Kidder,Ned Beatty,Jackie Cooper,108200000,54000000,1980
Gigli ,Martin Brest,121,Todd Giebenhain,Lenny Venito,David Backus,5660084,54000000,2003
All the King's Men ,Steven Zaillian,128,Kate Winslet,Anthony Hopkins,Kevin Dunn,7221458,55000000,2006
Shaft ,John Singleton,99,Christian Bale,Vanessa Williams,Daniel von Bargen,70327868,46000000,2000
Anastasia ,Don Bluth,94,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,58297830,50000000,1997
Moulin Rouge! ,Baz Luhrmann,127,Jim Broadbent,Kylie Minogue,Richard Roxburgh,57386369,52500000,2001
Domestic Disturbance ,Harold Becker,89,Steve Buscemi,Teri Polo,Matt O'Leary,45207112,53000000,2001
Black Mass ,Scott Cooper,123,Johnny Depp,Benedict Cumberbatch,Adam Scott,62563543,53000000,2015
Flags of Our Fathers ,Clint Eastwood,135,Paul Walker,Chris Bauer,Tom McCarthy,33574332,90000000,2006
Law Abiding Citizen ,F. Gary Gray,118,Gerard Butler,Leslie Bibb,Michael Kelly,73343413,50000000,2009
Grindhouse ,Robert Rodriguez,189,Quentin Tarantino,Rosario Dawson,Zoë Bell,25031037,53000000,2007
Beloved ,Jonathan Demme,172,Oprah Winfrey,Kimberly Elise,Hill Harper,22843047,55000000,1998
Lucky You ,Curtis Hanson,124,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,5755286,55000000,2007
Catch Me If You Can ,Steven Spielberg,141,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,164435221,52000000,2002
Zero Dark Thirty ,Kathryn Bigelow,157,Jennifer Ehle,Harold Perrineau,Parker Sawyers,95720716,40000000,2012
The Break-Up ,Peyton Reed,106,Jon Favreau,John Michael Higgins,Ann-Margret,118683135,52000000,2006
Mamma Mia! ,Phyllida Lloyd,108,Colin Firth,Meryl Streep,Julie Walters,143704210,52000000,2008
Valentine's Day ,Garry Marshall,125,Bradley Cooper,Taylor Lautner,Anne Hathaway,110476776,52000000,2010
The Dukes of Hazzard ,Jay Chandrasekhar,107,Alice Greczyn,Jessica Simpson,Michael Weston,80270227,50000000,2005
The Thin Red Line ,Terrence Malick,215,Nick Stahl,Miranda Otto,Dash Mihok,36385763,52000000,1998
The Change-Up ,David Dobkin,118,Ryan Reynolds,Olivia Wilde,Mircea Monroe,37035845,52000000,2011
Man on the Moon ,Milos Forman,118,Matt Price,Gerry Becker,Tom Dreesen,34580635,52000000,1999
Casino ,Martin Scorsese,178,Robert De Niro,Don Rickles,Kevin Pollak,42438300,52000000,1995
From Paris with Love ,Pierre Morel,92,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,23324666,52000000,2010
Bulletproof Monk ,Paul Hunter,104,Jaime King,Mako,Victoria Smurfit,23020488,52000000,2003
"Me, Myself & Irene ",Bobby Farrelly,116,Robert Forster,Tony Cox,Rob Moran,90567722,51000000,2000
Barnyard ,Steve Oedekerk,90,Rob Paulsen,Wanda Sykes,Maurice LaMarche,72601713,51000000,2006
Deck the Halls ,John Whitesell,93,Matthew Broderick,Jorge Garcia,Alia Shawkat,35092918,,2006
The Twilight Saga: New Moon ,Chris Weitz,130,Robert Pattinson,Kristen Stewart,Taylor Lautner,296623634,50000000,2009
Shrek ,Andrew Adamson,90,Kathleen Freeman,Chris Miller,Bobby Block,267652016,60000000,2001
The Adjustment Bureau ,George Nolfi,106,Matt Damon,Michael Kelly,Jon Stewart,62453315,50200000,2011
Robin Hood: Prince of Thieves ,Kevin Reynolds,155,Alan Rickman,Morgan Freeman,Michael Wincott,165500000,48000000,1991
Jerry Maguire ,Cameron Crowe,139,Tom Cruise,Kelly Preston,Bonnie Hunt,153620822,50000000,1996
Ted ,Seth MacFarlane,112,Mila Kunis,Seth MacFarlane,Tom Skerritt,218628680,50000000,2012
As Good as It Gets ,James L. Brooks,139,Lupe Ontiveros,Yeardley Smith,Shirley Knight,147637474,50000000,1997
Patch Adams ,Tom Shadyac,115,Robin Williams,Philip Seymour Hoffman,Monica Potter,135014968,50000000,1998
Anchorman 2: The Legend Continues ,Adam McKay,143,Harrison Ford,Will Ferrell,Steve Carell,2175312,50000000,2013
Mr. Deeds ,Steven Brill,96,Steve Buscemi,Adam Sandler,Peter Gallagher,126203320,50000000,2002
Super 8 ,J.J. Abrams,112,Joel Courtney,AJ Michalka,Zach Mills,126975169,50000000,2011
Erin Brockovich ,Steven Soderbergh,131,Julia Roberts,Albert Finney,Conchata Ferrell,125548685,52000000,2000
How to Lose a Guy in 10 Days ,Donald Petrie,116,Matthew McConaughey,Adam Goldberg,Thomas Lennon,105807520,50000000,2003
22 Jump Street ,Phil Lord,112,Channing Tatum,Craig Roberts,Amber Stevens West,191616238,50000000,2014
Interview with the Vampire: The Vampire Chronicles ,Neil Jordan,123,Brad Pitt,Tom Cruise,Kirsten Dunst,105264608,60000000,1994
Yes Man ,Peyton Reed,104,Bradley Cooper,Zooey Deschanel,Danny Masterson,97680195,70000000,2008
Central Intelligence ,Rawson Marshall Thurber,107,Dwayne Johnson,Thomas Kretschmann,Megan Park,126088877,50000000,2016
Stepmom ,Chris Columbus,124,Julia Roberts,Liam Aiken,Herbert Russell,91030827,50000000,1998
Daddy's Home ,Sean Anders,96,Will Ferrell,Linda Cardellini,Mark L. Young,150315155,50000000,2015
Into the Woods ,Rob Marshall,125,Johnny Depp,Meryl Streep,Anna Kendrick,127997349,50000000,2014
Inside Man ,Spike Lee,129,Denzel Washington,James Ransone,Peter Gerety,88504640,45000000,2006
Payback ,Brian Helgeland,90,Bill Duke,Deborah Kara Unger,William Devane,81517441,50000000,1999
Congo ,Frank Marshall,109,Dylan Walsh,Joe Don Baker,Grant Heslov,81022333,50000000,1995
We Bought a Zoo ,Cameron Crowe,124,Scarlett Johansson,Matt Damon,Stephanie Szostak,75621915,,2011
Knowing ,Alex Proyas,121,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,79948113,50000000,2009
Failure to Launch ,Tom Dey,95,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,88658172,50000000,2006
The Ring Two ,Hideo Nakata,128,Naomi Watts,Gary Cole,Sissy Spacek,75888270,,2005
"Crazy, Stupid, Love. ",Glenn Ficarra,118,Ryan Gosling,Emma Stone,Steve Carell,84244877,50000000,2011
Garfield ,Peter Hewitt,80,Bill Murray,Mark Christopher Lawrence,Michael Monks,75367693,35000000,2004
Christmas with the Kranks ,Joe Roth,99,Jamie Lee Curtis,Cheech Marin,Jake Busey,73701902,60000000,2004
Moneyball ,Bennett Miller,133,Philip Seymour Hoffman,Robin Wright,Brad Pitt,75605492,50000000,2011
Outbreak ,Wolfgang Petersen,127,Kevin Spacey,Morgan Freeman,Rene Russo,67823573,50000000,1995
Non-Stop ,Jaume Collet-Serra,106,Liam Neeson,Nate Parker,Scoot McNairy,91439400,50000000,2014
Race to Witch Mountain ,Andy Fickman,98,Dwayne Johnson,Billy Brown,Tom Everett Scott,67128202,65000000,2009
V for Vendetta ,James McTeigue,132,Natalie Portman,Eddie Marsan,Rupert Graves,70496802,54000000,2005
Shanghai Knights ,David Dobkin,114,Fann Wong,Anna-Louise Plowman,Georgina Chapman,60470220,50000000,2003
Unforgotten             ,,45,Bernard Hill,Gemma Jones,Nicola Walker,,,
Curious George ,Matthew O'Callaghan,78,Will Ferrell,Frank Welker,Alexander Gould,58336565,50000000,2006
Herbie Fully Loaded ,Angela Robinson,101,Scoot McNairy,Thomas Lennon,Cheryl Hines,66002004,50000000,2005
Don't Say a Word ,Gary Fleder,113,Oliver Platt,Jennifer Esposito,Conrad Goode,54997476,50000000,2001
Hansel & Gretel: Witch Hunters ,Tommy Wirkola,98,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,55682070,50000000,2013
Unfaithful ,Adrian Lyne,124,Olivier Martinez,Erik Per Sullivan,Chad Lowe,52752475,50000000,2002
I Am Number Four ,D.J. Caruso,109,Alex Pettyfer,Emily Wickersham,Reuben Langdon,55092830,60000000,2011
Syriana ,Stephen Gaghan,128,Matt Damon,Amr Waked,Kayvan Novak,50815288,50000000,2005
13 Hours ,Michael Bay,144,Toby Stephens,James Badge Dale,David Costabile,52822418,50000000,2016
The Book of Life ,Jorge R. Gutiérrez,95,Channing Tatum,Hector Elizondo,Ana de la Reguera,50150619,50000000,2014
Firewall ,Richard Loncraine,105,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,48745150,50000000,2006
Absolute Power ,Clint Eastwood,121,Clint Eastwood,Mark Margolis,Scott Glenn,50007168,50000000,1997
G.I. Jane ,Ridley Scott,125,Viggo Mortensen,Demi Moore,John Michael Higgins,48154732,50000000,1997
The Game ,David Fincher,129,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,48265581,50000000,1997
Silent Hill ,Christophe Gans,132,Radha Mitchell,Deborah Kara Unger,Alice Krige,46982632,50000000,2006
The Replacements ,Howard Deutch,118,Keanu Reeves,Jon Favreau,Faizon Love,44737059,50000000,2000
American Reunion ,Jon Hurwitz,113,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,56724080,50000000,2012
The Negotiator ,F. Gary Gray,140,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,44484065,50000000,1998
Into the Storm ,Steven Quale,89,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,47553512,50000000,2014
Beverly Hills Cop III ,John Landis,104,Louis Lombardi,Jon Tenney,Gilbert R. Hill,42610000,55000000,1994
Gremlins 2: The New Batch ,Joe Dante,106,Christopher Lee,Robert Picardo,Phoebe Cates,41482207,50000000,1990
The Judge ,David Dobkin,141,Robert Downey Jr.,Robert Duvall,Leighton Meester,47105085,50000000,2014
The Peacemaker ,Mimi Leder,124,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,41256277,50000000,1997
Resident Evil: Apocalypse ,Alexander Witt,98,Milla Jovovich,Thomas Kretschmann,Mike Epps,50740078,45000000,2004
Bridget Jones: The Edge of Reason ,Beeban Kidron,108,Colin Firth,Jim Broadbent,Celia Imrie,40203020,40000000,2004
Out of Time ,Carl Franklin,114,Denzel Washington,Sanaa Lathan,John Billingsley,40905277,50000000,2003
On Deadly Ground ,Steven Seagal,101,Mike Starr,Joan Chen,Sven-Ole Thorsen,38590500,50000000,1994
The Adventures of Sharkboy and Lavagirl 3-D ,Robert Rodriguez,93,Taylor Lautner,Kristin Davis,Taylor Dooley,39177541,50000000,2005
The Beach ,Danny Boyle,119,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,39778599,50000000,2000
Raising Helen ,Garry Marshall,119,Amber Valletta,Felicity Huffman,Spencer Breslin,37486138,50000000,2004
Ninja Assassin ,James McTeigue,99,Shô Kosugi,Ben Miles,Rain,38105077,40000000,2009
For Love of the Game ,Sam Raimi,137,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,35168395,50000000,1999
A Touch of Frost             ,,105,David Jason,Bruce Alexander,John Lyons,,,
Striptease ,Andrew Bergman,117,Demi Moore,Rumer Willis,Paul Guilfoyle,32800000,40000000,1996
Marmaduke ,Tom Dey,87,Emma Stone,Judy Greer,Steve Coogan,33643461,50000000,2010
Hereafter ,Clint Eastwood,129,Matt Damon,Jay Mohr,Cécile De France,32741596,50000000,2010
Murder by Numbers ,Barbet Schroeder,115,Ryan Gosling,Chris Penn,Agnes Bruckner,31874869,50000000,2002
Assassins ,Richard Donner,132,Muse Watson,Sylvester Stallone,Kelly Rowan,30306268,50000000,1995
Hannibal Rising ,Peter Webber,131,Li Gong,Stephen Walters,Richard Brake,27667947,50000000,2007
The Story of Us ,Rob Reiner,95,Bruce Willis,Tim Matheson,Rita Wilson,27067160,50000000,1999
